tipo,execucao,geracao,bler
aleatoria,1,0,0.022
aleatoria,1,1,0.028
aleatoria,1,2,0.028
aleatoria,1,3,0.028
aleatoria,1,4,0.024
aleatoria,1,5,0.024
aleatoria,1,6,0.022
aleatoria,1,7,0.022
aleatoria,1,8,0.028
aleatoria,1,9,0.024
aleatoria,1,10,0.018
aleatoria,1,11,0.024
aleatoria,1,12,0.014
aleatoria,1,13,0.018
aleatoria,1,14,0.02
aleatoria,1,15,0.016
aleatoria,1,16,0.016
aleatoria,1,17,0.018
aleatoria,1,18,0.018
aleatoria,1,19,0.018
aleatoria,1,20,0.016
aleatoria,1,21,0.022
aleatoria,1,22,0.02
aleatoria,1,23,0.016
aleatoria,1,24,0.012
aleatoria,1,25,0.018
aleatoria,1,26,0.02
aleatoria,1,27,0.018
aleatoria,1,28,0.014
aleatoria,1,29,0.014
peg,1,0,0.024
peg,1,1,0.02
peg,1,2,0.02
peg,1,3,0.018
peg,1,4,0.014
peg,1,5,0.02
peg,1,6,0.016
peg,1,7,0.016
peg,1,8,0.02
peg,1,9,0.016
peg,1,10,0.016
peg,1,11,0.02
peg,1,12,0.008
peg,1,13,0.02
peg,1,14,0.018
peg,1,15,0.016
peg,1,16,0.02
peg,1,17,0.014
peg,1,18,0.018
peg,1,19,0.016
peg,1,20,0.012
peg,1,21,0.02
peg,1,22,0.018
peg,1,23,0.016
peg,1,24,0.02
peg,1,25,0.024
peg,1,26,0.014
peg,1,27,0.02
peg,1,28,0.014
peg,1,29,0.014
qc,1,0,0.02
qc,1,1,0.03
qc,1,2,0.034
qc,1,3,0.018
qc,1,4,0.022
qc,1,5,0.022
qc,1,6,0.022
qc,1,7,0.026
qc,1,8,0.02
qc,1,9,0.016
qc,1,10,0.02
qc,1,11,0.022
qc,1,12,0.032
qc,1,13,0.02
qc,1,14,0.026
qc,1,15,0.022
qc,1,16,0.032
qc,1,17,0.026
qc,1,18,0.028
qc,1,19,0.018
qc,1,20,0.014
qc,1,21,0.018
qc,1,22,0.022
qc,1,23,0.022
qc,1,24,0.024
qc,1,25,0.02
qc,1,26,0.026
qc,1,27,0.014
qc,1,28,0.02
qc,1,29,0.022
hibrida,1,0,0.024
hibrida,1,1,0.018
hibrida,1,2,0.01
hibrida,1,3,0.012
hibrida,1,4,0.02
hibrida,1,5,0.01
hibrida,1,6,0.014
hibrida,1,7,0.022
hibrida,1,8,0.02
hibrida,1,9,0.014
hibrida,1,10,0.02
hibrida,1,11,0.016
hibrida,1,12,0.02
hibrida,1,13,0.014
hibrida,1,14,0.02
hibrida,1,15,0.018
hibrida,1,16,0.012
hibrida,1,17,0.018
hibrida,1,18,0.016
hibrida,1,19,0.018
hibrida,1,20,0.016
hibrida,1,21,0.018
hibrida,1,22,0.016
hibrida,1,23,0.01
hibrida,1,24,0.018
hibrida,1,25,0.02
hibrida,1,26,0.016
hibrida,1,27,0.014
hibrida,1,28,0.02
hibrida,1,29,0.022
