tipo,execucao,snr,bler,girt,fitness,tempo_execucao
aleatoria,1,0,0.088,4,"(38.0421052631579, 0.018, 4)",2664.6771247386932
aleatoria,1,1,0.023,4,"(27.125925925925923, 0.026, 4)",2664.6771247386932
aleatoria,1,2,0.004,4,"(22.41212121212121, 0.032, 4)",2664.6771247386932
aleatoria,1,3,0.002,4,"(25.337931034482754, 0.028, 4)",2664.6771247386932
aleatoria,1,4,0.001,4,"(38.0421052631579, 0.018, 4)",2664.6771247386932
peg,1,0,0.082,6,"(21.799999999999997, 0.034, 6)",2078.103261947632
peg,1,1,0.018,6,"(29.8, 0.024, 6)",2078.103261947632
peg,1,2,0.008,6,"(23.01212121212121, 0.032, 6)",2078.103261947632
peg,1,3,0.001,6,"(21.799999999999997, 0.034, 6)",2078.103261947632
peg,1,4,0.001,6,"(25.937931034482755, 0.028, 6)",2078.103261947632
qc,1,0,0.093,4,"(25.337931034482754, 0.028, 4)",2574.3795053958893
qc,1,1,0.028,4,"(25.337931034482754, 0.028, 4)",2574.3795053958893
qc,1,2,0.007,4,"(64.83636363636364, 0.01, 4)",2574.3795053958893
qc,1,3,0.001,4,"(15.485714285714284, 0.048, 4)",2574.3795053958893
qc,1,4,0.001,4,"(27.125925925925923, 0.026, 4)",2574.3795053958893
hibrida,1,0,0.106,6,"(27.725925925925925, 0.026, 6)",2029.732979297638
hibrida,1,1,0.034,6,"(14.527272727272727, 0.054, 6)",2029.732979297638
hibrida,1,2,0.002,6,"(16.085714285714285, 0.048, 6)",2029.732979297638
hibrida,1,3,0.001,6,"(24.38064516129032, 0.03, 6)",2029.732979297638
hibrida,1,4,0.001,6,"(24.38064516129032, 0.03, 6)",2029.732979297638
